win,firstBlood,firstTower,KillDiff,AssistDiff,DamageDiff,TrueDamageDiff,HealDiff,CCTimeDiff,MinionDiff,CounterJungleDiff,DragonDiff,BaronDiff
1,0,1,20,29,20271,2453,18166,-8,-133,24,1,1
1,0,1,16,13,13572,-48,18613,-45,15,17,2,1
0,0,1,-11,-22,-17994,-4259,-10877,-64,-21,-1,2,-1
1,1,1,2,20,38601,15334,23850,-33,85,-12,4,-1
1,1,0,16,37,24139,9187,19704,-19,-10,-8,3,1
0,0,0,-16,-17,-29397,-1689,-3386,-68,-75,-18,-3,-1
1,1,1,18,33,29242,907,1468,34,35,-5,2,0
1,0,0,7,-5,2686,-5658,21132,-26,-39,-2,3,1
0,0,0,-8,-9,-6774,-1774,15378,-38,117,-34,1,-1
0,1,0,-7,-4,4600,66,9311,-30,-14,-11,-2,-1
1,0,1,7,-5,-804,6287,21045,11,88,56,3,2
0,0,0,-18,-36,-36182,-4140,-1771,-22,-27,-40,-2,-1
1,0,1,12,1,3616,-792,5348,-37,12,-32,1,0
1,0,0,-7,6,12638,-5792,-3712,-65,98,-25,-1,2
0,0,0,-11,-15,-18350,-2018,4273,3,-5,-11,-3,0
0,1,1,-1,-19,-19153,2443,7824,19,-60,-5,-2,-1
1,1,1,11,32,33896,1325,11602,-17,21,3,4,-1
1,1,0,6,-24,-41987,738,-11847,7,-85,39,3,4
0,0,0,-21,-15,-27167,-8122,-6427,-18,-72,-24,-1,-1
1,1,1,17,42,21827,4226,4878,42,-53,37,1,1
1,1,1,9,2,15367,-195,-40,19,111,-8,0,0
1,1,1,11,18,334,815,4751,31,16,22,3,1
1,1,1,18,28,25381,1304,-2663,61,15,6,1,0
0,0,0,3,-3,-2804,-2464,4648,30,13,-33,1,2
0,1,1,-15,-23,-20472,-4796,3453,49,22,-12,-1,-1
0,0,0,-2,-6,45,-7923,678,25,-31,-15,-3,-1
1,1,1,18,28,19054,-387,11804,-1,58,28,2,0
0,0,0,-13,-14,-9557,-1020,-18222,-23,-77,-23,-3,-1
0,0,0,-6,-4,-8274,-1351,-1168,-45,-106,-13,-1,0
1,1,1,28,27,24213,-3452,18578,-24,38,31,3,1
1,0,1,1,12,-7559,12395,5952,36,-17,-10,-2,-1
0,0,0,-16,-12,-11375,-2535,1329,41,22,1,-3,-1
0,1,1,0,-23,-5966,-5883,-13362,-14,-195,40,-1,3
1,1,1,18,33,31230,2389,28059,33,70,28,2,1
0,1,1,-8,-16,-6555,-7491,-12547,8,-11,-21,-1,-1
0,1,0,-17,-26,-16903,2555,-9359,2,28,-7,-1,-2
1,0,1,23,47,4643,3841,29525,-10,-61,18,5,0
0,1,1,-11,-16,491,5424,-6332,-19,133,-3,-2,-1
1,1,1,13,10,2984,197,22155,-48,88,11,-1,1
0,0,0,-21,-22,-14933,1461,-12375,-20,-51,-14,-2,0
1,1,0,17,20,17162,5451,15108,-22,23,1,0,-1
0,0,0,-13,-6,-16948,1600,-3693,17,-139,-8,-1,0
0,0,0,-25,-4,-39734,1604,-2723,-147,-103,-13,-3,-1
1,0,0,-4,5,-7901,-184,16289,12,-20,-8,2,1
1,1,1,20,42,10849,3149,-7358,46,2,6,0,0
1,1,1,10,27,13835,-6635,7503,14,-34,16,1,0
1,1,1,21,28,21069,767,4595,35,-21,10,3,1
1,0,0,4,19,10388,2598,-295,-29,25,3,-2,1
0,1,0,-16,-10,-9878,-742,-22427,1,-36,-20,-3,-1
0,0,0,-13,-16,-18105,-1507,-4965,-11,-157,-6,-1,0
1,0,0,13,26,24755,1383,3899,39,54,27,2,-1
0,0,0,-10,-18,-7644,-2579,-7896,5,-31,-41,-2,-2
0,1,0,-14,-43,-16801,4561,-9223,0,23,-16,-2,-1
0,1,1,-2,9,-43074,6338,-39172,54,-152,-28,-3,-1
0,1,0,-5,-9,-10236,-2165,-2889,-23,93,-16,-1,-2
1,1,0,-11,-15,-12253,164,-8666,-27,-92,-15,-4,0
1,0,1,10,6,-414,-1646,-10481,23,-82,32,3,0
0,1,0,-5,-1,-1180,719,1933,11,-72,-10,-3,-1
0,0,0,-23,-41,-18373,555,-16979,-13,-91,-12,-2,0
1,1,1,25,16,17414,1872,11374,14,117,29,2,0
1,1,1,21,49,14828,3826,9183,14,38,31,2,0
0,0,0,-33,-40,-34129,-5011,-8809,51,-3,-45,-2,-1
0,0,1,-4,-13,2161,-1345,-5925,43,25,-14,-4,-2
0,1,1,-8,-17,-2281,-311,-8086,34,-28,-8,-2,0
0,1,1,-14,-49,-11904,-639,-7024,-34,14,-3,-4,-1
0,1,0,-14,-27,-4781,10233,-19487,48,-47,-1,1,-1
1,1,1,24,22,18642,4587,10792,18,-29,26,1,2
1,0,1,12,21,8802,2097,8668,6,63,33,2,0
1,0,1,12,24,13896,267,11829,28,36,18,3,0
1,0,1,18,43,37594,-5620,5394,30,-4,-5,-1,-1
